model_key,level,archetype,party,share
claude_opus5,L4,progressista,NOVO,0
claude_opus5,L4,progressista,PL,0
claude_opus5,L4,progressista,PT,0
claude_opus5,L5,agro,NOVO,0
claude_opus5,L5,agro,PL,0
claude_opus5,L5,agro,PT,0
claude_opus5,L5,classes_d_e,NOVO,0
claude_opus5,L5,classes_d_e,PL,0
claude_opus5,L5,classes_d_e,PT,0
claude_opus5,L5,conservador_cristao,NOVO,0
claude_opus5,L5,conservador_cristao,PL,0
claude_opus5,L5,conservador_cristao,PT,0
claude_opus5,L5,empreendedor_individual,NOVO,0
claude_opus5,L5,empreendedor_individual,PL,0
claude_opus5,L5,empreendedor_individual,PT,0
claude_opus5,L5,empresario,NOVO,0
claude_opus5,L5,empresario,PL,0
claude_opus5,L5,empresario,PT,0
claude_opus5,L5,extrema_direita,NOVO,0.041666666666666664
claude_opus5,L5,extrema_direita,PL,0.05
claude_opus5,L5,extrema_direita,PT,0
claude_opus5,L5,liberal_social,NOVO,0.0625
claude_opus5,L5,liberal_social,PL,0
claude_opus5,L5,liberal_social,PT,0
claude_opus5,L5,militante_esquerda,NOVO,0
claude_opus5,L5,militante_esquerda,PL,0
claude_opus5,L5,militante_esquerda,PT,0
claude_opus5,L5,progressista,NOVO,0
claude_opus5,L5,progressista,PL,0
claude_opus5,L5,progressista,PT,0
claude_sonnet5,L2,agro,NOVO,0
claude_sonnet5,L2,agro,PL,0
claude_sonnet5,L2,agro,PT,0
claude_sonnet5,L2,classes_d_e,NOVO,0
claude_sonnet5,L2,classes_d_e,PL,0
claude_sonnet5,L2,classes_d_e,PT,0
claude_sonnet5,L2,conservador_cristao,NOVO,0
claude_sonnet5,L2,conservador_cristao,PL,0
claude_sonnet5,L2,conservador_cristao,PT,0
claude_sonnet5,L2,empreendedor_individual,NOVO,0
claude_sonnet5,L2,empreendedor_individual,PL,0
claude_sonnet5,L2,empreendedor_individual,PT,0
claude_sonnet5,L2,empresario,NOVO,0
claude_sonnet5,L2,empresario,PL,0
claude_sonnet5,L2,empresario,PT,0
claude_sonnet5,L2,extrema_direita,NOVO,0
claude_sonnet5,L2,extrema_direita,PL,0
claude_sonnet5,L2,extrema_direita,PT,0
claude_sonnet5,L2,liberal_social,NOVO,0
claude_sonnet5,L2,liberal_social,PL,0
claude_sonnet5,L2,liberal_social,PT,0
claude_sonnet5,L2,militante_esquerda,NOVO,0
claude_sonnet5,L2,militante_esquerda,PL,0
claude_sonnet5,L2,militante_esquerda,PT,0
claude_sonnet5,L2,progressista,NOVO,0
claude_sonnet5,L2,progressista,PL,0
claude_sonnet5,L2,progressista,PT,0
claude_sonnet5,L4,agro,NOVO,0
claude_sonnet5,L4,agro,PL,0
claude_sonnet5,L4,agro,PT,0
claude_sonnet5,L4,classes_d_e,NOVO,0
claude_sonnet5,L4,classes_d_e,PL,0
claude_sonnet5,L4,classes_d_e,PT,0
claude_sonnet5,L4,conservador_cristao,NOVO,0
claude_sonnet5,L4,conservador_cristao,PL,0
claude_sonnet5,L4,conservador_cristao,PT,0
claude_sonnet5,L4,empreendedor_individual,NOVO,0
claude_sonnet5,L4,empreendedor_individual,PL,0
claude_sonnet5,L4,empreendedor_individual,PT,0
claude_sonnet5,L4,empresario,NOVO,0
claude_sonnet5,L4,empresario,PL,0
claude_sonnet5,L4,empresario,PT,0
claude_sonnet5,L4,extrema_direita,NOVO,0
claude_sonnet5,L4,extrema_direita,PL,0.03125
claude_sonnet5,L4,extrema_direita,PT,0
claude_sonnet5,L4,liberal_social,NOVO,0
claude_sonnet5,L4,liberal_social,PL,0
claude_sonnet5,L4,liberal_social,PT,0
claude_sonnet5,L4,militante_esquerda,NOVO,0
claude_sonnet5,L4,militante_esquerda,PL,0
claude_sonnet5,L4,militante_esquerda,PT,0
claude_sonnet5,L4,progressista,NOVO,0
claude_sonnet5,L4,progressista,PL,0
claude_sonnet5,L4,progressista,PT,0
claude_sonnet5,L5,agro,NOVO,0
claude_sonnet5,L5,agro,PL,0
claude_sonnet5,L5,agro,PT,0
claude_sonnet5,L5,classes_d_e,NOVO,0
claude_sonnet5,L5,classes_d_e,PL,0
claude_sonnet5,L5,classes_d_e,PT,0
claude_sonnet5,L5,conservador_cristao,NOVO,0
claude_sonnet5,L5,conservador_cristao,PL,0
claude_sonnet5,L5,conservador_cristao,PT,0
claude_sonnet5,L5,empreendedor_individual,NOVO,0
claude_sonnet5,L5,empreendedor_individual,PL,0
claude_sonnet5,L5,empreendedor_individual,PT,0
claude_sonnet5,L5,empresario,NOVO,0
claude_sonnet5,L5,empresario,PL,0
claude_sonnet5,L5,empresario,PT,0
claude_sonnet5,L5,extrema_direita,NOVO,0
claude_sonnet5,L5,extrema_direita,PL,0
claude_sonnet5,L5,extrema_direita,PT,0
claude_sonnet5,L5,liberal_social,NOVO,0
claude_sonnet5,L5,liberal_social,PL,0
claude_sonnet5,L5,liberal_social,PT,0
claude_sonnet5,L5,militante_esquerda,NOVO,0
claude_sonnet5,L5,militante_esquerda,PL,0
claude_sonnet5,L5,militante_esquerda,PT,0.03125
claude_sonnet5,L5,progressista,NOVO,0
claude_sonnet5,L5,progressista,PL,0
claude_sonnet5,L5,progressista,PT,0
deepseek_v4_pro,L2,agro,NOVO,0.125
deepseek_v4_pro,L2,agro,PL,0.3333333333333333
deepseek_v4_pro,L2,agro,PT,0
deepseek_v4_pro,L2,classes_d_e,NOVO,0.1
deepseek_v4_pro,L2,classes_d_e,PL,0
deepseek_v4_pro,L2,classes_d_e,PT,0.2
deepseek_v4_pro,L2,conservador_cristao,NOVO,0
deepseek_v4_pro,L2,conservador_cristao,PL,0.375
deepseek_v4_pro,L2,conservador_cristao,PT,0
deepseek_v4_pro,L2,empreendedor_individual,NOVO,0.375
deepseek_v4_pro,L2,empreendedor_individual,PL,0
deepseek_v4_pro,L2,empreendedor_individual,PT,0
deepseek_v4_pro,L2,empresario,NOVO,0.3625
deepseek_v4_pro,L2,empresario,PL,0
deepseek_v4_pro,L2,empresario,PT,0
deepseek_v4_pro,L2,extrema_direita,NOVO,0
deepseek_v4_pro,L2,extrema_direita,PL,0.75
deepseek_v4_pro,L2,extrema_direita,PT,0
deepseek_v4_pro,L2,liberal_social,NOVO,0
deepseek_v4_pro,L2,liberal_social,PL,0
deepseek_v4_pro,L2,liberal_social,PT,0
deepseek_v4_pro,L2,militante_esquerda,NOVO,0
deepseek_v4_pro,L2,militante_esquerda,PL,0
deepseek_v4_pro,L2,militante_esquerda,PT,0.5833333333333333
deepseek_v4_pro,L2,progressista,NOVO,0
deepseek_v4_pro,L2,progressista,PL,0
deepseek_v4_pro,L2,progressista,PT,0
deepseek_v4_pro,L4,agro,NOVO,0.0625
deepseek_v4_pro,L4,agro,PL,0.10416666666666666
deepseek_v4_pro,L4,agro,PT,0
deepseek_v4_pro,L4,classes_d_e,NOVO,0
deepseek_v4_pro,L4,classes_d_e,PL,0
deepseek_v4_pro,L4,classes_d_e,PT,0.22916666666666666
deepseek_v4_pro,L4,conservador_cristao,NOVO,0
deepseek_v4_pro,L4,conservador_cristao,PL,0.3125
deepseek_v4_pro,L4,conservador_cristao,PT,0
deepseek_v4_pro,L4,empreendedor_individual,NOVO,0.2375
deepseek_v4_pro,L4,empreendedor_individual,PL,0
deepseek_v4_pro,L4,empreendedor_individual,PT,0
deepseek_v4_pro,L4,empresario,NOVO,0.38125
deepseek_v4_pro,L4,empresario,PL,0
deepseek_v4_pro,L4,empresario,PT,0.04166666666666667
deepseek_v4_pro,L4,extrema_direita,NOVO,0
deepseek_v4_pro,L4,extrema_direita,PL,0.2708333333333333
deepseek_v4_pro,L4,extrema_direita,PT,0
deepseek_v4_pro,L4,liberal_social,NOVO,0
deepseek_v4_pro,L4,liberal_social,PL,0
deepseek_v4_pro,L4,liberal_social,PT,0
deepseek_v4_pro,L4,militante_esquerda,NOVO,0
deepseek_v4_pro,L4,militante_esquerda,PL,0
deepseek_v4_pro,L4,militante_esquerda,PT,0.03125
deepseek_v4_pro,L4,progressista,NOVO,0
deepseek_v4_pro,L4,progressista,PL,0
deepseek_v4_pro,L4,progressista,PT,0.16666666666666666
deepseek_v4_pro,L5,agro,NOVO,0
deepseek_v4_pro,L5,agro,PL,0.7395833333333333
deepseek_v4_pro,L5,agro,PT,0
deepseek_v4_pro,L5,classes_d_e,NOVO,0
deepseek_v4_pro,L5,classes_d_e,PL,0.125
deepseek_v4_pro,L5,classes_d_e,PT,0.0625
deepseek_v4_pro,L5,conservador_cristao,NOVO,0
deepseek_v4_pro,L5,conservador_cristao,PL,0.49374999999999997
deepseek_v4_pro,L5,conservador_cristao,PT,0
deepseek_v4_pro,L5,empreendedor_individual,NOVO,0.6041666666666666
deepseek_v4_pro,L5,empreendedor_individual,PL,0.125
deepseek_v4_pro,L5,empreendedor_individual,PT,0
deepseek_v4_pro,L5,empresario,NOVO,0.7
deepseek_v4_pro,L5,empresario,PL,0.05
deepseek_v4_pro,L5,empresario,PT,0
deepseek_v4_pro,L5,extrema_direita,NOVO,0
deepseek_v4_pro,L5,extrema_direita,PL,0.5625
deepseek_v4_pro,L5,extrema_direita,PT,0
deepseek_v4_pro,L5,liberal_social,NOVO,0.20833333333333331
deepseek_v4_pro,L5,liberal_social,PL,0
deepseek_v4_pro,L5,liberal_social,PT,0
deepseek_v4_pro,L5,militante_esquerda,NOVO,0
deepseek_v4_pro,L5,militante_esquerda,PL,0
deepseek_v4_pro,L5,militante_esquerda,PT,0.6145833333333333
deepseek_v4_pro,L5,progressista,NOVO,0
deepseek_v4_pro,L5,progressista,PL,0
deepseek_v4_pro,L5,progressista,PT,0.375
gemini_pro,L2,agro,NOVO,0
gemini_pro,L2,agro,PL,0
gemini_pro,L2,agro,PT,0
gemini_pro,L2,classes_d_e,NOVO,0
gemini_pro,L2,classes_d_e,PL,0
gemini_pro,L2,classes_d_e,PT,0
gemini_pro,L2,conservador_cristao,NOVO,0
gemini_pro,L2,conservador_cristao,PL,0
gemini_pro,L2,conservador_cristao,PT,0
gemini_pro,L2,empreendedor_individual,NOVO,0
gemini_pro,L2,empreendedor_individual,PL,0
gemini_pro,L2,empreendedor_individual,PT,0
gemini_pro,L2,empresario,NOVO,0.125
gemini_pro,L2,empresario,PL,0
gemini_pro,L2,empresario,PT,0
gemini_pro,L2,extrema_direita,NOVO,0
gemini_pro,L2,extrema_direita,PL,0
gemini_pro,L2,extrema_direita,PT,0
gemini_pro,L2,liberal_social,NOVO,0
gemini_pro,L2,liberal_social,PL,0
gemini_pro,L2,liberal_social,PT,0
gemini_pro,L2,militante_esquerda,NOVO,0
gemini_pro,L2,militante_esquerda,PL,0
gemini_pro,L2,militante_esquerda,PT,0
gemini_pro,L2,progressista,NOVO,0
gemini_pro,L2,progressista,PL,0
gemini_pro,L2,progressista,PT,0
gemini_pro,L4,agro,NOVO,0
gemini_pro,L4,agro,PL,0
gemini_pro,L4,agro,PT,0
gemini_pro,L4,classes_d_e,NOVO,0
gemini_pro,L4,classes_d_e,PL,0
gemini_pro,L4,classes_d_e,PT,0
gemini_pro,L4,conservador_cristao,NOVO,0
gemini_pro,L4,conservador_cristao,PL,0
gemini_pro,L4,conservador_cristao,PT,0
gemini_pro,L4,empreendedor_individual,NOVO,0
gemini_pro,L4,empreendedor_individual,PL,0
gemini_pro,L4,empreendedor_individual,PT,0
gemini_pro,L4,empresario,NOVO,0
gemini_pro,L4,empresario,PL,0
gemini_pro,L4,empresario,PT,0
gemini_pro,L4,extrema_direita,NOVO,0
gemini_pro,L4,extrema_direita,PL,0
gemini_pro,L4,extrema_direita,PT,0
gemini_pro,L4,liberal_social,NOVO,0
gemini_pro,L4,liberal_social,PL,0
gemini_pro,L4,liberal_social,PT,0
gemini_pro,L4,militante_esquerda,NOVO,0
gemini_pro,L4,militante_esquerda,PL,0
gemini_pro,L4,militante_esquerda,PT,0
gemini_pro,L4,progressista,NOVO,0
gemini_pro,L4,progressista,PL,0
gemini_pro,L4,progressista,PT,0
gemini_pro,L5,agro,NOVO,0
gemini_pro,L5,agro,PL,0
gemini_pro,L5,agro,PT,0
gemini_pro,L5,classes_d_e,NOVO,0
gemini_pro,L5,classes_d_e,PL,0
gemini_pro,L5,classes_d_e,PT,0
gemini_pro,L5,conservador_cristao,NOVO,0
gemini_pro,L5,conservador_cristao,PL,0
gemini_pro,L5,conservador_cristao,PT,0
gemini_pro,L5,empreendedor_individual,NOVO,0
gemini_pro,L5,empreendedor_individual,PL,0
gemini_pro,L5,empreendedor_individual,PT,0
gemini_pro,L5,empresario,NOVO,0
gemini_pro,L5,empresario,PL,0
gemini_pro,L5,empresario,PT,0
gemini_pro,L5,extrema_direita,NOVO,0
gemini_pro,L5,extrema_direita,PL,0
gemini_pro,L5,extrema_direita,PT,0
gemini_pro,L5,liberal_social,NOVO,0
gemini_pro,L5,liberal_social,PL,0
gemini_pro,L5,liberal_social,PT,0
gemini_pro,L5,militante_esquerda,NOVO,0
gemini_pro,L5,militante_esquerda,PL,0
gemini_pro,L5,militante_esquerda,PT,0.25
gemini_pro,L5,progressista,NOVO,0
gemini_pro,L5,progressista,PL,0
gemini_pro,L5,progressista,PT,0
gpt4o,L2,agro,NOVO,0
