level,queries,captures_searched,demographic,issue,politics,official,captures,searched
L1,6416,3215,0,0,0,0.75,7395,0.4347532116294794
L2,62680,28176,9.253350350989151e-4,0.5633056796426292,0.002361199744735163,0.46054562858966175,66517,0.42359096170903676
L3,113750,56368,0.0012307692307692308,7.032967032967034e-5,2.6373626373626374e-5,0.7640263736263736,133035,0.42370804675461343
L4,128797,55659,0.007927203273368169,0.5941132169227544,0.034806711336444175,0.4069582366048899,132986,0.41853277788639404
L5,119995,54972,0.006416934038918288,0.43598483270136257,0.28692862202591773,0.4200258344097671,132868,0.4137339314206581
