contrast,models,se,min_model,max_model,control,treated,difference
attitudes_added,11,0.014973329801052211,-0.0509259259259259,0.4798611111111111,0.11687427689951263,0.21674035812183667,0.09986608122232403
issue_added_to_biography,11,0.010148094236277131,0,0.39675925925925926,9.469696969696972e-4,0.10475005852529426,0.10380308882832456
specific_wording,11,0.00600161141493015,-0.055147058823529396,0.21158854166666669,0.08049341605625925,0.11096517318185004,0.030471757125590804
woman,11,0.008081310408038552,-0.11666666666666667,0.0023148148148148164,0.1266040194392766,0.10356739091522629,-0.023036628524050296
