model_key,office,category,share
gpt56_luna,federal_deputy,"Describes some candidates, picks none",0.03333333333333334
gpt56_luna,federal_deputy,"Describes the whole field, picks none",0
gpt56_luna,federal_deputy,"Names a party, no candidate",0.02777777777777777
gpt56_luna,federal_deputy,"Names nobody, declines or explains how to choose",0.9388888888888889
gpt56_luna,federal_deputy,Names one candidate,0
gpt56_luna,federal_deputy,Not coded,0
gpt56_luna,federal_deputy,Other,0
gpt56_luna,federal_deputy,Personalized shortlist,0
gpt56_luna,president,"Describes some candidates, picks none",0
gpt56_luna,president,"Describes the whole field, picks none",0
gpt56_luna,president,"Names a party, no candidate",0.006944444444444442
gpt56_luna,president,"Names nobody, declines or explains how to choose",0.9680555555555556
gpt56_luna,president,Names one candidate,0.018055555555555557
gpt56_luna,president,Not coded,0.006944444444444442
gpt56_luna,president,Other,0
gpt56_luna,president,Personalized shortlist,0
gpt56_sol,federal_deputy,"Describes some candidates, picks none",0.02314814814814815
gpt56_sol,federal_deputy,"Describes the whole field, picks none",0
gpt56_sol,federal_deputy,"Names a party, no candidate",0
gpt56_sol,federal_deputy,"Names nobody, declines or explains how to choose",0.9768518518518519
gpt56_sol,federal_deputy,Names one candidate,0
gpt56_sol,federal_deputy,Not coded,0
gpt56_sol,federal_deputy,Other,0
gpt56_sol,federal_deputy,Personalized shortlist,0
gpt56_sol,president,"Describes some candidates, picks none",0
gpt56_sol,president,"Describes the whole field, picks none",0
gpt56_sol,president,"Names a party, no candidate",0
gpt56_sol,president,"Names nobody, declines or explains how to choose",1
gpt56_sol,president,Names one candidate,0
gpt56_sol,president,Not coded,0
gpt56_sol,president,Other,0
gpt56_sol,president,Personalized shortlist,0
grok46,federal_deputy,"Describes some candidates, picks none",0.009259259259259257
grok46,federal_deputy,"Describes the whole field, picks none",0
grok46,federal_deputy,"Names a party, no candidate",0.03148148148148148
grok46,federal_deputy,"Names nobody, declines or explains how to choose",0.036111111111111115
grok46,federal_deputy,Names one candidate,0.763425925925926
grok46,federal_deputy,Not coded,0.08009259259259259
grok46,federal_deputy,Other,0
grok46,federal_deputy,Personalized shortlist,0.07962962962962963
grok46,president,"Describes some candidates, picks none",0.04398148148148147
grok46,president,"Describes the whole field, picks none",0
grok46,president,"Names a party, no candidate",0
grok46,president,"Names nobody, declines or explains how to choose",0
grok46,president,Names one candidate,0.8412037037037037
grok46,president,Not coded,0.09166666666666666
grok46,president,Other,0
grok46,president,Personalized shortlist,0.02314814814814815
llama_maverick,federal_deputy,"Describes some candidates, picks none",0.32051282051282054
llama_maverick,federal_deputy,"Describes the whole field, picks none",0
llama_maverick,federal_deputy,"Names a party, no candidate",0
llama_maverick,federal_deputy,"Names nobody, declines or explains how to choose",0.0641025641025641
llama_maverick,federal_deputy,Names one candidate,0
llama_maverick,federal_deputy,Not coded,0
llama_maverick,federal_deputy,Other,0
llama_maverick,federal_deputy,Personalized shortlist,0.6153846153846154
llama_maverick,president,"Describes some candidates, picks none",0.18888888888888888
llama_maverick,president,"Describes the whole field, picks none",0
llama_maverick,president,"Names a party, no candidate",0
llama_maverick,president,"Names nobody, declines or explains how to choose",0.12222222222222222
llama_maverick,president,Names one candidate,0.3055555555555555
llama_maverick,president,Not coded,0.03333333333333334
llama_maverick,president,Other,0
llama_maverick,president,Personalized shortlist,0.35
sabia4,federal_deputy,"Describes some candidates, picks none",0.0763888888888889
sabia4,federal_deputy,"Describes the whole field, picks none",0
sabia4,federal_deputy,"Names a party, no candidate",0.28935185185185186
sabia4,federal_deputy,"Names nobody, declines or explains how to choose",0.05462962962962963
sabia4,federal_deputy,Names one candidate,0.16018518518518518
sabia4,federal_deputy,Not coded,0.20555555555555557
sabia4,federal_deputy,Other,0
sabia4,federal_deputy,Personalized shortlist,0.21388888888888888
sabia4,president,"Describes some candidates, picks none",0.07083333333333335
sabia4,president,"Describes the whole field, picks none",0
sabia4,president,"Names a party, no candidate",0.03888888888888889
sabia4,president,"Names nobody, declines or explains how to choose",0.12175925925925926
sabia4,president,Names one candidate,0.19999999999999998
sabia4,president,Not coded,0.3037037037037037
sabia4,president,Other,0
sabia4,president,Personalized shortlist,0.2648148148148148
