level,configurations,advice_mean,advice_min,advice_max,advice_se,steers_tse_mean,steers_tse_min,steers_tse_max,steers_tse_se
L1,11,0,0,0,0,0,0,0,0
L2,11,0.13164187613798087,0,0.5148148148148148,0.05523813301782061,0.3340210342794845,0.020527673370625627,0.8180555555555555,0.09789701358009975
L3,11,9.46969696969697e-4,0,0.010416666666666668,9.469696969696971e-4,0.011929073342116821,0,0.06805555555555556,0.0064668623751043776
L4,11,0.11275625687240169,0,0.39675925925925926,0.039576387359815515,0.331260675968755,0.003472222222222221,0.7715277777777778,0.09003956304425942
L5,11,0.21604891993039846,0,0.8766203703703703,0.08799881696270599,0.4664456002301806,0,0.9518518518518518,0.11783413776423206
