model_key,term,estimate,se,n
chatgpt_web,levelL1,-0.0011838995464418512,0.019190600364477697,45272
chatgpt_web,levelL2,0.0092622685659667775,0.012867474269208975,45272
chatgpt_web,levelL4,0.05254540404279441,0.02040988014186654,45272
chatgpt_web,levelL5,0.061848043647669416,0.018625624393690185,45272
chatgpt_web,officefederal_deputy,-0.04634101573398297,0.015504719177692574,45272
chatgpt_web,gendermulher,-0.002358220834627162,0.01815621746796419,45272
claude_opus5,levelL1,-0.004379623208259078,0.014082245862124044,626
claude_opus5,levelL2,0.05160063729680489,0.04388420309531933,626
claude_opus5,levelL4,0.01700077972264708,0.012621547915634527,626
claude_opus5,levelL5,0.01722442096824827,0.009756483703045573,626
claude_opus5,officefederal_deputy,-0.03551363009860561,0.015263665260772302,626
claude_opus5,gendermulher,-0.007862768814116721,0.010483042163651096,626
claude_sonnet5,levelL1,-0.004042375283073255,0.006611426163235369,623
claude_sonnet5,levelL2,-0.0037265524516476725,0.0048878525456657685,623
claude_sonnet5,levelL4,0.011111111111111113,0.0076516326810859205,623
claude_sonnet5,levelL5,0.023703937273187436,0.011121781685356689,623
claude_sonnet5,officefederal_deputy,-0.01326455891987435,0.007547857946584237,623
claude_sonnet5,gendermulher,-0.008084750566146498,0.008865714199822124,623
deepseek_v4_pro,levelL1,-0.002172006088029612,0.025847995758221127,595
deepseek_v4_pro,levelL2,0.47893931569337855,0.07282988634609401,595
deepseek_v4_pro,levelL4,0.25294117647058817,0.03976115990886068,595
deepseek_v4_pro,levelL5,0.64562842489662,0.048366462013872666,595
deepseek_v4_pro,officefederal_deputy,-0.04517352809542052,0.038696027967793915,595
deepseek_v4_pro,gendermulher,-0.004344012176059103,0.03969101366864693,595
gemini_pro,levelL1,-1.621140500761833e-4,0.011640102763149182,623
gemini_pro,levelL2,0.010948997061034924,0.013371044447264564,623
gemini_pro,levelL4,6.638751718319896e-5,0.0027587374569622426,623
gemini_pro,levelL5,0.036565392090652134,0.0252174575099178,623
gemini_pro,officefederal_deputy,-0.023176952982700397,0.01416606805038312,623
gemini_pro,gendermulher,-3.2422810015234754e-4,0.015919877138247735,623
gpt4o,levelL1,-0.0034799794651110254,0.04176126429477713,632
gpt4o,levelL2,0.14309591204448835,0.060343418439215965,632
gpt4o,levelL4,0.13940122461389637,0.03500603586537671,632
gpt4o,levelL5,0.3071836346886124,0.04666489720040935,632
gpt4o,officefederal_deputy,-0.10132154715526394,0.03573735855430401,632
gpt4o,gendermulher,-0.006959958930221727,0.03822774116657938,632
gpt56_luna,levelL1,-0.0037383177570093438,0.007522554592234355,636
gpt56_luna,levelL2,0.04193430322771921,0.044213436526493156,636
gpt56_luna,levelL4,3.272070151422689e-5,0.002453458513125223,636
gpt56_luna,levelL5,0.011247673972542258,0.007598057658005954,636
gpt56_luna,officefederal_deputy,-0.01919064665611168,0.013191135022306474,636
gpt56_luna,gendermulher,-0.007476635514018687,0.005196703217547373,636
gpt56_sol,levelL1,0.0018518518518518567,0.003911398153250898,640
gpt56_sol,levelL2,0.024074074074074088,0.014727223351865085,640
gpt56_sol,levelL4,0.0055555555555555575,0.005469197591634794,640
gpt56_sol,levelL5,2.5462737176684763e-18,0.0011982556909304355,640
gpt56_sol,officefederal_deputy,-0.009375000000000001,0.005151007428380539,640
gpt56_sol,gendermulher,0.0037037037037037047,0.0036896269396944274,640
grok46,levelL1,-0.03842956752180894,0.026138181000893188,604
grok46,levelL2,0.4783863405990667,0.07929749151681074,604
grok46,levelL4,0.4168745629847421,0.04479853215798387,604
grok46,levelL5,0.8650220711859956,0.03589975589029483,604
grok46,officefederal_deputy,-0.04709853981703308,0.03766202921220239,604
grok46,gendermulher,-0.07685913504361783,0.03706668204592709,604
llama_maverick,levelL1,-0.05319133270067826,0.050356898536409914,138
llama_maverick,levelL2,0.009308667299321852,0.07118594684199288,138
llama_maverick,levelL4,0.20534544356603335,0.07914911402508135,138
llama_maverick,levelL5,0.15598360307508907,0.059946326962565064,138
llama_maverick,officefederal_deputy,-0.10580084931297283,0.051252326470039834,138
llama_maverick,gendermulher,-0.08482017155695759,0.06130892240299827,138
sabia4,levelL1,-0.017987754602772445,0.04514870186699402,551
sabia4,levelL2,0.06913492847882467,0.05232237631703436,551
sabia4,levelL4,0.16472530251875786,0.031437683927566636,551
sabia4,levelL5,0.2314923160647503,0.04708912927990399,551
sabia4,officefederal_deputy,-0.11387465921874852,0.031734063540496155,551
sabia4,gendermulher,-0.011382253661377677,0.03335330232950923,551
