archetype,entity_name,answers_mentioning,first_position,sentiment,refusing_answers,share_mentioning
agro,Augusto Cury,3,0.3929547705859883,50.55794896179577,582,0.005154639175257732
agro,Flávio Bolsonaro,354,0.28821000405114994,55.34161027112373,582,0.6082474226804123
agro,Lula,161,0.44774202240806554,51.67890072693143,582,0.2766323024054983
agro,Renan Santos,94,0.3660172876056804,53.08293200490576,582,0.16151202749140894
agro,Romeu Zema,330,0.3420925848756616,56.04840029925089,582,0.5670103092783505
agro,Ronaldo Caiado,332,0.3391026490468225,58.28777067611639,582,0.570446735395189
agro,Tarcísio de Freitas,30,0.5738609969167844,33.12814099920085,582,0.05154639175257732
classes_d_e,Augusto Cury,42,0.47110805640659775,54.320466345359904,783,0.05363984674329502
classes_d_e,Flávio Bolsonaro,439,0.4317253143854713,58.54119181779248,783,0.5606641123882503
classes_d_e,Lula,403,0.42561446628802135,55.778255327925706,783,0.5146871008939975
classes_d_e,Renan Santos,162,0.5424319028742344,60.4694651179449,783,0.20689655172413793
classes_d_e,Romeu Zema,366,0.47469671962026017,56.08762424770153,783,0.4674329501915709
classes_d_e,Ronaldo Caiado,214,0.44819907082375876,58.61139936691201,783,0.27330779054916987
conservador_cristao,Augusto Cury,8,0.3711935316113835,50.32257159794824,582,0.013745704467353952
conservador_cristao,Flávio Bolsonaro,357,0.3005295412766161,58.66568570972748,582,0.6134020618556701
conservador_cristao,Lula,73,0.4990225556302949,52.40644238130097,582,0.1254295532646048
conservador_cristao,Renan Santos,272,0.43388823254713765,58.000815523880334,582,0.46735395189003437
conservador_cristao,Romeu Zema,335,0.3928319889790652,57.64409300719809,582,0.5756013745704467
conservador_cristao,Ronaldo Caiado,335,0.35681613933031797,58.88774120467604,582,0.5756013745704467
conservador_cristao,Tarcísio de Freitas,2,0.776604075726093,49.95551105500908,582,0.003436426116838488
empreendedor_individual,Augusto Cury,14,0.4876091764717245,44.74274248835042,670,0.020895522388059702
empreendedor_individual,Flávio Bolsonaro,369,0.37160307361034717,53.05473963139056,670,0.5507462686567164
empreendedor_individual,Lula,199,0.543777616621707,50.10173018036907,670,0.29701492537313434
empreendedor_individual,Renan Santos,135,0.4349558681828066,52.4390535781756,670,0.20149253731343283
empreendedor_individual,Romeu Zema,391,0.31779545123466607,54.85626831217794,670,0.5835820895522388
empreendedor_individual,Ronaldo Caiado,157,0.42983202561506373,55.004781754373525,670,0.23432835820895523
empresario,Flávio Bolsonaro,208,0.4340114930819465,51.507283304878975,338,0.6153846153846154
empresario,Lula,123,0.6194515736236367,51.61765789568133,338,0.363905325443787
empresario,Renan Santos,137,0.4816022272830532,54.64524620783149,338,0.40532544378698226
empresario,Romeu Zema,218,0.2701286229921814,54.84475692792588,338,0.6449704142011834
empresario,Ronaldo Caiado,62,0.5335997768591012,43.99451346558459,338,0.1834319526627219
extrema_direita,Augusto Cury,10,0.3181088143409465,46.14469594315324,580,0.017241379310344827
extrema_direita,Flávio Bolsonaro,335,0.2767972722426721,54.89230800623585,580,0.5775862068965517
extrema_direita,Lula,160,0.44888299973216794,48.863082235736904,580,0.27586206896551724
extrema_direita,Renan Santos,282,0.3555971910298146,55.615316238864516,580,0.4862068965517241
extrema_direita,Romeu Zema,326,0.3139646161052303,53.49326458992966,580,0.5620689655172414
extrema_direita,Ronaldo Caiado,319,0.32963566749662915,56.115221892526655,580,0.55
extrema_direita,Tarcísio de Freitas,21,0.6466168623805346,31.919915583045537,580,0.03620689655172414
liberal_social,Augusto Cury,153,0.35986348177177685,55.8477277646818,761,0.20105124835742444
liberal_social,Flávio Bolsonaro,454,0.3423196041591111,54.92127484076931,761,0.5965834428383706
liberal_social,Lula,485,0.3305278854995704,52.32179048767797,761,0.6373193166885677
liberal_social,Renan Santos,384,0.3275994804151322,55.17537315495297,761,0.5045992115637319
liberal_social,Romeu Zema,473,0.3140898029448311,57.68174421581844,761,0.621550591327201
liberal_social,Ronaldo Caiado,465,0.3209776121836261,58.7547192163658,761,0.6110381077529566
liberal_social,Tarcísio de Freitas,29,0.5681706187501234,43.39941498787785,761,0.03810775295663601
militante_esquerda,Augusto Cury,104,0.3395999557861649,48.94184578831799,510,0.20392156862745098
militante_esquerda,Flávio Bolsonaro,266,0.42382636222491354,49.221222269217456,510,0.5215686274509804
militante_esquerda,Lula,147,0.41553895457870055,50.807088035143984,510,0.28823529411764703
militante_esquerda,Renan Santos,148,0.38468141239893056,50.24665050236363,510,0.2901960784313726
militante_esquerda,Romeu Zema,221,0.40146325026129626,50.37349187813637,510,0.43333333333333335
militante_esquerda,Ronaldo Caiado,207,0.3980430476118738,49.95537240554642,510,0.40588235294117647
progressista,Augusto Cury,48,0.4051562440569187,47.21508761536105,788,0.06091370558375635
progressista,Flávio Bolsonaro,230,0.5042094091223841,52.31470934691785,788,0.2918781725888325
progressista,Lula,242,0.4823981457243355,50.87614201247629,788,0.30710659898477155
progressista,Renan Santos,102,0.4423509443806942,49.33085906678943,788,0.12944162436548223
progressista,Romeu Zema,116,0.4410365198713086,49.813347441848606,788,0.14720812182741116
progressista,Ronaldo Caiado,97,0.42197697802834483,50.70695796543846,788,0.12309644670050761
