model,cargo,ask,issue_cue,issue_side,n,refused2_rate,party_rate,mean_zeta
sabia4,presidente,open,ambiente,left,5,0.8,0.2,-0.691
sabia4,presidente,open,bolsa_familia,left,5,0.8,0.2,-0.691
sabia4,presidente,open,minorias,left,5,1,0,NA
sabia4,presidente,open,privatizacao,left,5,0,1,-0.691
sabia4,presidente,open,seguranca,left,5,0.8,0.6,-0.691
sabia4,presidente,open,aborto,right,5,1,0,NA
sabia4,presidente,open,ambiente,right,5,0.2,0.8,-0.39499999999999996
sabia4,presidente,open,bolsa_familia,right,5,0.6,0.2,0.296
sabia4,presidente,open,minorias,right,5,0.6,0.4,0.493
sabia4,presidente,open,privatizacao,right,5,0.2,0.8,0.46349999999999997
sabia4,presidente,open,seguranca,right,5,0.6,0.4,0.493
