office,level,has_offer,offer_side,offer_issue,offer_party,cites_tse,cites_registry,proportional,election_date,match_tool,lists_criteria,names_someone,names_candidate,mentions_bolsonaro,mentions_lula,prompts,n
federal_deputy,L1,1,0.0075,0.16999999999999998,0.0024999999999999996,0.9875,0.655,0.1725,0.53,0.07,0.5375,0.0225,0.0024999999999999996,0,0,1,400
federal_deputy,L2,0.9941629255518144,0.03306890475045237,0.5104238448520788,0.0013963711185933409,0.9575163564317856,0.3351817527880672,0.11676593667307135,0.499133742612715,0.3255693220888156,0.9119714299803483,0.09322254870395519,0.062060159505851704,9.296670407781518e-4,0,9,3186
federal_deputy,L3,0.9995804988662131,5.092592592592592e-4,0.13412815799720562,7.435752078609222e-4,0.9935535055773151,0.5724679333012667,0.18982784191117524,0.6266973877092925,0.07430443894729609,0.7165773093749285,0.03658535468059278,0.003846829977782359,3.703703703703703e-4,3.703703703703703e-4,18,6397
federal_deputy,L4,0.9990277777777777,0.08599018933828789,0.6548569488738317,0.0020349770382121447,0.8944718778850931,0.1866760610202441,0.08855842716993662,0.48863378460844525,0.23406696706608857,0.9377513286131911,0.19704559170126548,0.16495594742705216,0.009400535194697362,9.806397306397305e-4,18,6333
federal_deputy,L5,0.9967984541867704,0.4072535720641595,0.2310094231150523,0.08803095524601824,0.905535087946109,0.21848744809921378,0.07185289742379417,0.451044098086317,0.2058281117704698,0.9410551261301957,0.32719972978257217,0.1435805197442,0.2002641873102927,0.0501107217100917,18,6358
president,L1,1,0.005,0.435,0,0.97,0.2225,0,0.8475,0,0.3375,0.27,0.0875,0.245,0.245,1,400
president,L2,0.9821240179573513,0.008613916947250281,0.7640011223344557,0.0011111111111111111,0.850895061728395,0.15613355780022448,0.0019472502805836138,0.6299915824915825,0.003338945005611672,0.8821127946127946,0.527087542087542,0.07428731762065095,0.4553843995510662,0.4219921436588103,9,3199
president,L3,0.9998611111111111,0.007413019079685746,0.36169297853821664,0.001435185185185185,0.9717774113012209,0.23083247440390298,0,0.8031978229002038,0,0.6566951258617926,0.2253083270345175,0.07662354840926269,0.19049883758217093,0.19035994869328202,18,6394
president,L4,0.9932898896028853,0.21286261579675403,0.63798191284781125,4.6766798750925737e-4,0.6332188812136068,0.05995896449809726,0.0091527830021939,0.46963537750212436,0.002084736251402918,0.8071995828104124,0.8977391194480119,0.13578264118160727,0.8507991295520373,0.8331514112096662,18,6312
president,L5,0.9811272803770843,0.3258317969561187,0.38471905574080933,0.004439316321112141,0.6641998220086309,0.06185382898404007,0.0012627703030255806,0.4821118862365474,8.361678004535147e-4,0.7187074095966777,0.9188166004436488,0.09544274043046878,0.8843339538865029,0.6980116540541587,18,6293
