model_key,level,office,prompts,advice_se,advice,any_steer_se,any_steer,party_only_se,party_only,shortlist_se,shortlist
chatgpt_web,L1,federal_deputy,1,,0,,0,,0,,0
chatgpt_web,L1,president,1,,0,,0,,0,,0
chatgpt_web,L2,federal_deputy,9,0.006942240779783049,0.012417571331875455,0.010132459266275755,0.02002926964374559,4.4179525728107164e-4,6.604803282924703e-4,0.003524196974488471,0.006951217983577663
chatgpt_web,L2,president,9,0.009629629629629629,0.00962962962962963,0.01599521962195137,0.019537037037037037,3.7037037037037035e-4,3.703703703703704e-4,0.0065779852736708826,0.009537037037037038
chatgpt_web,L3,federal_deputy,18,0,0,0,0,0,0,0,0
chatgpt_web,L3,president,18,0,0,0,0,0,0,0,0
chatgpt_web,L4,federal_deputy,18,0.006214843329599679,0.018974690892700048,0.014000514955221494,0.04178840861689521,0.0043220467352843685,0.006401373052989207,0.0049344472793171066,0.016412344671205958
chatgpt_web,L4,president,18,0.04692555648858308,0.09664559988664073,0.06464715140968424,0.23397406797701698,1.388888888888889e-4,1.3888888888888883e-4,0.031344530734553636,0.13718957920148733
chatgpt_web,L5,federal_deputy,18,0.00458491711423656,0.011147112749550976,0.0067287635521396435,0.024610820747705056,0.0036385559855712916,0.008693774656587615,0.001479867302301299,0.004769933341566462
chatgpt_web,L5,president,18,0.03735776572002614,0.11302911730997144,0.05803555787800486,0.22883934655691074,0,0,0.029667899065724205,0.11581022924693932
claude_opus5,L1,federal_deputy,1,,0,,0,,0,,0
claude_opus5,L1,president,1,,0,,0,,0,,0
claude_opus5,L2,federal_deputy,9,0,0,0.04629629629629629,0.046296296296296294,0.04629629629629629,0.046296296296296294,0,0
claude_opus5,L2,president,9,0.08275260616536795,0.09722222222222222,0.08275260616536795,0.09722222222222222,0,0,0,0
claude_opus5,L3,federal_deputy,18,0,0,0,0,0,0,0,0
claude_opus5,L3,president,18,0,0,0,0,0,0,0,0
claude_opus5,L4,federal_deputy,18,0,0,0.015889420211418894,0.034722222222222224,0.015889420211418894,0.034722222222222224,0,0
claude_opus5,L4,president,18,0.029304452012800318,0.03888888888888889,0.04365230559303265,0.0736111111111111,0,0,0.019713935477146498,0.034722222222222224
claude_opus5,L5,federal_deputy,18,0,0,0.03058442552418727,0.05740740740740741,0.016144070161261754,0.029629629629629634,0.02777777777777778,0.02777777777777777
claude_opus5,L5,president,18,0.018886592623892057,0.03425925925925925,0.02288852225242385,0.07129629629629629,0,0,0.017789291387854147,0.037037037037037035
claude_sonnet5,L1,federal_deputy,1,,0,,0,,0,,0
claude_sonnet5,L1,president,1,,0,,0,,0,,0
claude_sonnet5,L2,federal_deputy,9,0,0,0.029462782549439483,0.04166666666666667,0.029462782549439483,0.04166666666666667,0,0
claude_sonnet5,L2,president,9,0,0,0.05555555555555555,0.125,0,0,0.05555555555555555,0.125
claude_sonnet5,L3,federal_deputy,18,0,0,0,0,0,0,0,0
claude_sonnet5,L3,president,18,0,0,0,0,0,0,0,0
claude_sonnet5,L4,federal_deputy,18,0,0,0.03097519981062785,0.05092592592592592,0.03097519981062785,0.05092592592592592,0,0
claude_sonnet5,L4,president,18,0.009527699174583824,0.013888888888888886,0.009527699174583824,0.013888888888888886,0,0,0,0
claude_sonnet5,L5,federal_deputy,18,0.006944444444444446,0.006944444444444442,0.04324299747321888,0.10740740740740741,0.029404098088985708,0.06574074074074074,0.028233596724881484,0.03472222222222223
claude_sonnet5,L5,president,18,0.017111955788411296,0.030092592592592587,0.04113249949033735,0.12685185185185185,0.01515847656477081,0.020833333333333336,0.03171370838619501,0.07592592592592591
deepseek_v4_pro,L1,federal_deputy,1,,0,,0,,0,,0
deepseek_v4_pro,L1,president,1,,0,,0,,0,,0
deepseek_v4_pro,L2,federal_deputy,9,0.0705528822279583,0.24907407407407406,0.09558924004338214,0.6648148148148149,0.05555555555555556,0.05555555555555555,0.09985307278899665,0.36018518518518516
deepseek_v4_pro,L2,president,9,0.10531567935613467,0.34814814814814815,0.07259223828333793,0.8768518518518519,0.02777777777777778,0.02777777777777777,0.09448982206895497,0.5009259259259259
deepseek_v4_pro,L3,federal_deputy,18,0,0,0,0,0,0,0,0
deepseek_v4_pro,L3,president,18,0,0,0,0,0,0,0,0
deepseek_v4_pro,L4,federal_deputy,18,0.06001998863500381,0.20601851851851852,0.06884426556829568,0.47824074074074074,0.012703598899445098,0.02314814814814815,0.05904440899457732,0.24907407407407406
deepseek_v4_pro,L4,president,18,0.06982295176890091,0.23009259259259257,0.07662545070007162,0.6472222222222223,0.009259259259259257,0.009259259259259259,0.07457660758315654,0.4078703703703704
