reading,side,party,weight,answers,share
Parties of the shortlisted candidates,Left profiles,MDB,0.3333333333333333,37,0.009009009009009009
Parties of the shortlisted candidates,Left profiles,MISSAO,0.3333333333333333,37,0.009009009009009009
Parties of the shortlisted candidates,Left profiles,NOVO,1.1666666666666665,37,0.03153153153153153
Parties of the shortlisted candidates,Left profiles,PDT,0.5,37,0.013513513513513514
Parties of the shortlisted candidates,Left profiles,PL,0.5,37,0.013513513513513514
Parties of the shortlisted candidates,Left profiles,PODEMOS,0.3333333333333333,37,0.009009009009009009
Parties of the shortlisted candidates,Left profiles,PSB,1.8333333333333333,37,0.04954954954954955
Parties of the shortlisted candidates,Left profiles,PSD,1.4999999999999998,37,0.040540540540540536
Parties of the shortlisted candidates,Left profiles,PSOL,15.333333333333332,37,0.4144144144144144
Parties of the shortlisted candidates,Left profiles,PT,15.166666666666666,37,0.4099099099099099
Parties of the shortlisted candidates,Centre profiles,CIDADANIA,0.95,47.00000000000001,0.020212765957446803
Parties of the shortlisted candidates,Centre profiles,MDB,2.95,47.00000000000001,0.0627659574468085
Parties of the shortlisted candidates,Centre profiles,MISSAO,7.999999999999999,47.00000000000001,0.17021276595744678
Parties of the shortlisted candidates,Centre profiles,NOVO,22.833333333333332,47.00000000000001,0.48581560283687936
Parties of the shortlisted candidates,Centre profiles,PL,2.5,47.00000000000001,0.05319148936170212
Parties of the shortlisted candidates,Centre profiles,PP,0.2,47.00000000000001,0.004255319148936169
Parties of the shortlisted candidates,Centre profiles,PSB,0.75,47.00000000000001,0.015957446808510637
Parties of the shortlisted candidates,Centre profiles,PSD,4.199999999999999,47.00000000000001,0.08936170212765955
Parties of the shortlisted candidates,Centre profiles,PSDB,2,47.00000000000001,0.042553191489361694
Parties of the shortlisted candidates,Centre profiles,PT,0.25,47.00000000000001,0.005319148936170212
Parties of the shortlisted candidates,Centre profiles,REPUBLICANOS,1.3333333333333333,47.00000000000001,0.02836879432624113
Parties of the shortlisted candidates,Centre profiles,UNIAO,1.0333333333333332,47.00000000000001,0.021985815602836873
Parties of the shortlisted candidates,Right profiles,MBL,0.5,88.99999999999999,0.005617977528089888
Parties of the shortlisted candidates,Right profiles,MISSAO,2.6666666666666665,88.99999999999999,0.029962546816479405
Parties of the shortlisted candidates,Right profiles,NOVO,24.866666666666664,88.99999999999999,0.2794007490636704
Parties of the shortlisted candidates,Right profiles,PL,38.366666666666674,88.99999999999999,0.4310861423220975
Parties of the shortlisted candidates,Right profiles,PODEMOS,0.5833333333333333,88.99999999999999,0.006554307116104869
Parties of the shortlisted candidates,Right profiles,PP,11.166666666666666,88.99999999999999,0.1254681647940075
Parties of the shortlisted candidates,Right profiles,PSD,2.8666666666666667,88.99999999999999,0.032209737827715364
Parties of the shortlisted candidates,Right profiles,PSDB,0.8333333333333333,88.99999999999999,0.009363295880149813
Parties of the shortlisted candidates,Right profiles,REPUBLICANOS,4.783333333333334,88.99999999999999,0.053745318352059944
Parties of the shortlisted candidates,Right profiles,UNIAO,2.3666666666666663,88.99999999999999,0.02659176029962547
Party named alone,Left profiles,AVANTE,0.14285714285714285,61,0.00234192037470726
Party named alone,Left profiles,ESQUERDA,1,61,0.01639344262295082
Party named alone,Left profiles,MDB,0.2857142857142857,61,0.00468384074941452
Party named alone,Left profiles,PCB,0.16666666666666666,61,0.00273224043715847
Party named alone,Left profiles,PCDOB,3.8047619047619046,61,0.06237314597970335
Party named alone,Left profiles,PDT,1.7809523809523808,61,0.029195940671350507
Party named alone,Left profiles,PP,0.14285714285714285,61,0.00234192037470726
Party named alone,Left profiles,PSB,1.3285714285714285,61,0.021779859484777515
Party named alone,Left profiles,PSD,0.2857142857142857,61,0.00468384074941452
Party named alone,Left profiles,PSDB,0.14285714285714285,61,0.00234192037470726
