office,archetype,has_offer,offer_right,offer_left,offer_centre,offer_side,offer_party
federal_deputy,agro,1,0.4794252044252044,0,0.05700542843399986,0.4794252044252044,0.011802033944891089
federal_deputy,classes_d_e,0.99875,0.0012499999999999998,0.0012499999999999998,0.0012499999999999998,0.0012499999999999998,0
federal_deputy,conservador_cristao,1,0.6806565656565656,0,0,0.6806565656565656,0.008350168350168349
federal_deputy,empreendedor_individual,0.9974747474747474,0.024004329004329004,0.00125,0.0581859410430839,0.06832586064728921,0.007627293341579056
federal_deputy,empresario,1,0.03367452135493373,0,0.6558850550529489,0.6761066694719124,0.015205133599831685
federal_deputy,extrema_direita,1,0.6415532879818594,0,0.01675152889438604,0.6415532879818594,0.011666666666666665
federal_deputy,liberal_social,0.9987113402061856,0.23169520260462823,0.04191382848047061,0.27853118817036343,0.2836463785764228,0.002564169997896066
federal_deputy,militante_esquerda,0.9862500000000001,0,0.7878914141414142,0.039002525252525254,0.7878914141414142,0.733800505050505
federal_deputy,progressista,0.99,0,0.04642676767676768,0.012537878787878787,0.04642676767676768,0.0012626262626262627
president,agro,1,0.41369305297876724,0.0979210472067615,0.025356283927712497,0.4153937332508761,0.0016666666666666666
president,classes_d_e,0.99875,0.33002779710369,0.35031001984126986,0,0.35156001984126983,0
president,conservador_cristao,0.9948976049859702,0.5067685941397282,0.030340146680352866,0.011853934534346907,0.5067685941397282,0.003436426116838488
president,empreendedor_individual,0.9694849388367213,0.13519035757852033,0.07446605473956794,0.012876180243838275,0.1558135641730179,0.0012886597938144332
president,empresario,0.9764958902440493,0.22677055993698114,0.0537920335269378,0.1218459013304374,0.3384271107172433,0
president,extrema_direita,0.9916329966329966,0.5447306397306397,0.06366161616161616,0.1700105218855219,0.5498169191919192,0
president,liberal_social,0.9884935776872448,0.19092107662730823,0.20413493497992763,0.09000412020478295,0.27986274650831905,0.001288659793814433
president,militante_esquerda,0.9191405150067764,0.1992449297578477,0.2897929797321894,0,0.2897929797321894,0.031023434518875247
president,progressista,0.99125,0.042550505050505054,0.045050505050505056,0.0012626262626262627,0.045050505050505056,0.0012499999999999998
