context,channel,estimate,se,low,high,n
dep_federal / candidate,Label,0.5126425640240837,0.039927365312979,0.4343849280106449,0.5909002000375225,1219
dep_federal / candidate,Issue,0.662441826890379,0.03992073205829764,0.5841971920561156,0.7406864617246424,1219
dep_federal / open,Label,0.500614815105115,0.03826232264840784,0.4256206627142356,0.5756089674959943,1628
dep_federal / open,Issue,0.513888653779735,0.038152155645732405,0.4391104287140995,0.5886668788453705,1628
presidente / candidate,Label,0.409891108256498,0.033499288884463574,0.3442325020429494,0.47554971447004657,1643
presidente / candidate,Issue,0.44927408157180954,0.03374611710758605,0.3831316920409409,0.5154164711026782,1643
presidente / open,Label,0.3814512328109577,0.03165433323893041,0.3194087396626541,0.44349372595926134,1821
presidente / open,Issue,0.4731978570244165,0.03176617780058842,0.4109361485352632,0.5354595655135699,1821
