cue_group,channel,estimate,se,low,high,n
party_id,Label,0.7884768946265783,0.027147258594676985,0.7352682677810114,0.8416855214721453,1704
party_id,Issue,0.27688731727554067,0.027152448706091296,0.22366851781160174,0.3301061167394796,1704
past_vote,Label,0.21834330790988324,0.03499292737174413,0.14975717026126473,0.28692944555850175,1498
past_vote,Issue,0.6690427499553625,0.034927788156100266,0.600584285169406,0.737501214741319,1498
past_vote_undec,Label,0.14955364176759656,0.03367773152427505,0.08354528798001747,0.21556199555517563,1597
past_vote_undec,Issue,0.6915514095267103,0.03421030139526085,0.6244992187919991,0.7586036002614216,1597
self_placement,Label,0.5953486109483992,0.03557424781560487,0.5256230852298136,0.6650741366669848,1512
self_placement,Issue,0.45182932568602563,0.035937807610848756,0.3813912227687621,0.5222674286032892,1512
