model,cells,mean_modal,unanimous,label
claude_opus,536,0.6858208955223881,0.15485074626865672,Claude Opus
claude_sonnet,536,0.7007462686567164,0.20708955223880596,Claude Sonnet
gemini_flash,536,0.7455223880597015,0.291044776119403,Gemini Flash
gpt4o,536,0.7511194029850746,0.27052238805970147,GPT-4o
llama,536,0.7365671641791045,0.28171641791044777,Llama
sabia4,536,0.6876865671641791,0.16977611940298507,Sabiá 4
