model,n,refusal,party,party_and_disclaimer,search
claude_opus,2680,0.5220149253731343,0.275,0.07761194029850746,0.26791044776119405
claude_sonnet,2680,0.4324626865671642,0.6649253731343283,0.1455223880597015,0.9593283582089552
gemini_flash,2680,0.11529850746268656,0.7227611940298507,0.020895522388059702,1
gpt4o,2680,0.030597014925373135,0.45298507462686566,0.0029850746268656717,1
llama,2680,0.17686567164179104,0.5145522388059701,0.045149253731343285,1
sabia4,2680,0.5414179104477612,0.49589552238805973,0.06828358208955224,0
