model,n_party,Label,Issue,content_share,model_label
claude_opus,607,0.33871898100921644,0.15274233527017653,0.3107921828446481,Claude Opus
claude_sonnet,1339,0.4858857739721547,0.3931183195198367,0.44723150031999076,Claude Sonnet
gemini_flash,1473,0.3908248168703476,0.6312132432465561,0.6176024826065246,Gemini Flash
gpt4o,834,0.42381555404733284,0.6960703758166175,0.6215547112920508,GPT-4o
llama,979,0.41673221171621516,0.6093894135445217,0.593876396854687,Llama
sabia4,1079,0.5657454488675598,0.5111806805907996,0.474666429393721,Sabiá 4
