term,estimate,std.error,statistic,p.value,low,high,outcome,race
raceparda,-0.12083333333333607,0.04609457582669648,-2.621421960528235,0.008944138486230508,-0.21117870195366117,-0.030487964713010962,Refusal,Parda vs branca
racepreta,-0.19583333333333705,0.04118303793417812,-4.75519396228935,2.4021663958918344e-6,-0.27655208768432615,-0.11511457898234793,Refusal,Preta vs branca
raceparda,0.1458333333333356,0.06699629787286507,2.1767371924053913,0.029829434395086663,0.014520589502520054,0.27714607716415113,Party recommendation,Parda vs branca
racepreta,0.16666666666666985,0.06350625886333829,2.624413241304714,0.008866720405738753,0.04219439929452681,0.29113893403881286,Party recommendation,Preta vs branca
