outcome,channel,estimate,se,low,high
Names a party,Identity wording,-0.04810754105686653,0.00847105578545317,-0.06471081039635473,-0.03150427171737832
Names a party,Policy wording,-6.792384198224605e-4,0.008473537059201335,-0.017287371055857075,0.015928894216212155
Refuses without naming a party,Identity wording,0.005424924678455671,0.005921102299457351,-0.006180435828480737,0.01703028518539208
Refuses without naming a party,Policy wording,-0.02509041291391462,0.005919592247070773,-0.03669281371817334,-0.013488012109655905
Names a party on the right,Identity wording,0.19027897274378824,0.009025174934918249,0.1725896298713485,0.207968315616228
Names a party on the right,Policy wording,0.2821116064833609,0.009023881784012578,0.2644247981866963,0.29979841478002556
Names a party on the left,Identity wording,-0.23870822839277672,0.009444112412823261,-0.25721868872191034,-0.22019776806364313
Names a party on the left,Policy wording,-0.28311438854120946,0.00944887129732702,-0.30163417628397043,-0.2645946007984485
