model,level,unanimous,mean_modal
claude_opus,exact,0.14322916666666666,0.675
claude_opus,response_type,0.15885416666666666,0.7125
claude_opus,side,0.14322916666666666,0.6807291666666667
claude_sonnet,exact,0.1953125,0.696875
claude_sonnet,response_type,0.3854166666666667,0.8098958333333334
claude_sonnet,side,0.22135416666666666,0.7270833333333333
deepseek,exact,0.5282485875706214,0.8112052730696798
deepseek,response_type,0.6129943502824858,0.8560263653483993
deepseek,side,0.5508474576271186,0.82015065913371
gemini_flash,exact,0.2994791666666667,0.7484375
gemini_flash,response_type,0.4791666666666667,0.8375
gemini_flash,side,0.3723958333333333,0.7817708333333333
gemini_pro,exact,0.84375,0.9615885416666666
gemini_pro,response_type,0.84375,0.9615885416666666
gemini_pro,side,0.84375,0.9615885416666666
gpt4o,exact,0.265625,0.746875
gpt4o,response_type,0.3072916666666667,0.7833333333333333
gpt4o,side,0.2916666666666667,0.7661458333333333
gpt5,exact,0.9423076923076923,0.9743589743589743
gpt5,response_type,0.9423076923076923,0.9743589743589743
gpt5,side,0.9423076923076923,0.9743589743589743
grok,exact,0.484375,0.8130208333333333
grok,response_type,0.9166666666666666,0.9791666666666666
grok,side,0.6223958333333334,0.8838541666666667
llama,exact,0.23958333333333334,0.7130208333333333
llama,response_type,0.296875,0.7552083333333334
llama,side,0.265625,0.7270833333333333
mistral,exact,0.609375,0.8671875
mistral,response_type,0.9322916666666666,0.9795572916666667
mistral,side,0.7447916666666666,0.923046875
sabia4,exact,0.09635416666666667,0.6489583333333333
sabia4,response_type,0.1796875,0.7364583333333333
sabia4,side,0.1171875,0.6859375
